genus	primary_lifestyle	secondary_lifestyle	plant_endophytic_capability	plant_pathogenic_capacity	decay_substrate	decay_type	aquatic_habitat	animal_biotrophic	specific_host	growth_form	fruitbody_type	hymenium_type	ectomycorrhiza_exploration_type	ectomycorrhiza_lineage	primary_photobiont	secondary_photobiont
Liua	wood_saprotroph				wood					filamentous_mycelium						
Discotubeufia	litter_saprotroph				leaf/fruit/seed				Brownea	filamentous_mycelium						
Acantharia	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Clavidisculum	litter_saprotroph				leaf/fruit/seed					filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Heterotruncatella	plant_pathogen			leaf/fruit/seed_pathogen						filamentous_mycelium						
Neoleptosporella	wood_saprotroph				wood					filamentous_mycelium						
Furfurella	wood_saprotroph				wood					filamentous_mycelium						
Capillaureum	plant_pathogen	wood_saprotroph		wood_pathogen	wood					filamentous_mycelium						
Chrysomorbus	plant_pathogen	wood_saprotroph		wood_pathogen	wood					filamentous_mycelium						
Eriocamporesia	plant_pathogen	wood_saprotroph		wood_pathogen	wood					filamentous_mycelium						
Neomelanconiella	plant_pathogen	litter_saprotroph		leaf/fruit/seed_pathogen	leaf/fruit/seed				Combretum	filamentous_mycelium						
Neomyrmecridium	litter_saprotroph				leaf/fruit/seed					filamentous_mycelium						
Xenodactylaria	litter_saprotroph				leaf/fruit/seed					filamentous_mycelium						
Pseudodiplococcium	litter_saprotroph				leaf/fruit/seed					filamentous_mycelium						
Adustochaete	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	corticioid	hydnoid				
Metulochaete	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	corticioid	hydnoid				
Proterochaete	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	corticioid	other				
Psilochaete	wood_saprotroph				wood					filamentous_mycelium	tremelloid	smooth				
Pekloderma	wood_saprotroph	ericoid_mycorrhizal			wood		non-aquatic			filamentous_mycelium	corticioid	smooth				
Geesterania	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	polyporoid	poroid				
Staurospora	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			trentepohlioid	
Galbinothrix	lichenized						non-aquatic			thallus_photosynthetic	apothecium_(hymenium_on_surface)	smooth			chlorococcoid	
Amylogalla	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic				apothecium_(hymenium_on_surface)	smooth				
Craspedodidymella	wood_saprotroph				wood		non-aquatic			filamentous_mycelium						
Crousobrauniella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		Shorea							
Hyalodermella																
Saania	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic				"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Vizellopsidites	plant_pathogen			unspecified_plant_pathogen												
Asterostomella	plant_pathogen	foliar_endophyte	foliar_endophyte	leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Mycosphaerellopsis	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Planistroma	litter_saprotroph	wood_saprotroph			"wood,leaf/fruit/seed"		non-aquatic			filamentous_mycelium						
Aeminium	sooty_mold	litter_saprotroph			"leaf/fruit/seed,sugar-rich_substrates"	mold	non-aquatic			filamentous_mycelium						
Globoramichloridium										filamentous_mycelium						
Paradevriesia										filamentous_mycelium						
Ceratosperma										filamentous_mycelium						
Plurivorosphaerella	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic			filamentous_mycelium						
Nowamyces	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		Eucalyptus 	filamentous_mycelium						
Lawreya	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"		non-aquatic			filamentous_mycelium	none	none				
Xenodevriesia	plant_pathogen			unspecified_plant_pathogen			non-aquatic		Strelitzia	filamentous_mycelium						
Neocelosporium							non-aquatic		Eucalyptus 	filamentous_mycelium						
Pseudoconlarium	wood_saprotroph				wood											
Neoparodia	plant_pathogen			leaf/fruit/seed_pathogen			non-aquatic		Trema	filamentous_mycelium						
Araneomyces	litter_saprotroph		no_endophytic_capacity		leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Lichenopeltella	lichen_parasite	fungal_decomposer			"fungal_material,algal_material"					filamentous_mycelium						
Pachythyrium	mycoparasite	fungal_decomposer			fungal_material				Diatrypaceae	filamentous_mycelium						
Trichothyrium	unspecified_saprotroph	mycoparasite			fungal_material					filamentous_mycelium						
Eremithallus	lichenized						non-aquatic			thallus_photosynthetic					trentepohlioid	
Neojahnula	wood_saprotroph				wood		freshwater			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Pseudojahnula	wood_saprotroph				wood		freshwater			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Neomycoleptodiscus	litter_saprotroph				leaf/fruit/seed		non-aquatic		Gyranthera	filamentous_mycelium						
Pseudopalawania	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Setoapiospora	wood_saprotroph				wood		non-aquatic			filamentous_mycelium	"perithecium_(hymenium_hidden,_narrow_opening)"	closed				
Posidoniomyces	root_endophyte		root_endophyte_dark_septate				marine		Posidonia	filamentous_mycelium						
Alfoldia	root_endophyte		root_endophyte				non-aquatic		Juniperus	filamentous_mycelium						
Amorocoelophoma	litter_saprotroph				leaf/fruit/seed		non-aquatic			filamentous_mycelium						
Purplema										filamentous_mycelium						
